episodeIndex,reason,totalReward,validPlacements,invalidPlacements,stepCount,stepScale,wLE,wCGS,wSS,supportRatioMin
3111,failed,-1.418052,3,27,3,0.182742,0.742738,0.290437,0.137391,0.801201
3112,failed,-1.605939,3,31,3,0.182742,0.742738,0.290437,0.137391,0.801201
3113,completed,1.196272,4,4,4,0.182742,0.742738,0.290437,0.137391,0.801201
3114,completed,1.133404,3,1,3,0.182742,0.742738,0.290437,0.137391,0.801201
3115,completed,1.061568,4,10,4,0.182742,0.742738,0.290437,0.137391,0.801201
3116,failed,-1.589307,2,28,2,0.182742,0.742738,0.290437,0.137391,0.801201
3117,failed,-1.631031,3,31,3,0.182742,0.742738,0.290437,0.137391,0.801201
3118,completed,1.066032,3,5,3,0.182742,0.742738,0.290437,0.137391,0.801201
3119,completed,0.559376,4,18,4,0.182742,0.742738,0.290437,0.137391,0.801201
3120,completed,1.302950,4,2,4,0.182742,0.742738,0.290437,0.137391,0.801201
3121,completed,1.150325,3,3,3,0.182742,0.742738,0.290437,0.137391,0.801201
3122,completed,0.644419,3,14,3,0.182742,0.742738,0.290437,0.137391,0.801201
3123,completed,0.809204,3,10,3,0.182742,0.742738,0.290437,0.137391,0.801201
3124,completed,0.941122,3,7,3,0.182742,0.742738,0.290437,0.137391,0.801201
3125,failed,-1.974276,4,41,4,0.182742,0.742738,0.290437,0.137391,0.801201
3126,completed,-0.192463,4,32,4,0.182742,0.742738,0.290437,0.137391,0.801201
3127,completed,0.906380,4,10,4,0.182742,0.742738,0.290437,0.137391,0.801201
3128,failed,-1.354981,3,26,3,0.182742,0.742738,0.290437,0.137391,0.801201
3129,completed,0.496000,4,18,4,0.182742,0.742738,0.290437,0.137391,0.801201
3130,completed,0.454990,3,17,3,0.182742,0.742738,0.290437,0.137391,0.801201
3131,failed,-1.250891,2,20,2,0.182742,0.742738,0.290437,0.137391,0.801201
3132,failed,-1.221537,3,23,3,0.182742,0.742738,0.290437,0.137391,0.801201
3133,completed,1.122375,3,3,3,0.182742,0.742738,0.290437,0.137391,0.801201
3134,failed,-1.159810,3,21,3,0.182742,0.742738,0.290437,0.137391,0.801201
3135,completed,0.731383,4,14,4,0.182742,0.742738,0.290437,0.137391,0.801201
3136,completed,1.071780,4,6,4,0.182742,0.742738,0.290437,0.137391,0.801201
3137,completed,1.344132,4,2,4,0.182742,0.742738,0.290437,0.137391,0.801201
3138,failed,-1.469618,3,28,3,0.182742,0.742738,0.290437,0.137391,0.801201
3139,failed,-1.488356,1,23,1,0.182742,0.742738,0.290437,0.137391,0.801201
3140,failed,-1.653035,3,31,3,0.182742,0.742738,0.290437,0.137391,0.801201
3141,failed,-1.646076,3,31,3,0.182742,0.742738,0.290437,0.137391,0.801201
3142,failed,-1.314950,3,24,3,0.182742,0.742738,0.290437,0.137391,0.801201
3143,completed,0.467444,3,17,3,0.182742,0.742738,0.290437,0.137391,0.801201
3144,failed,-1.313537,2,22,2,0.182742,0.742738,0.290437,0.137391,0.801201
3145,completed,0.784738,3,10,3,0.182742,0.742738,0.290437,0.137391,0.801201
3146,failed,-1.403440,2,24,2,0.182742,0.742738,0.290437,0.137391,0.801201
3147,failed,-1.130424,3,21,3,0.182742,0.742738,0.290437,0.137391,0.801201
3148,failed,-1.332645,1,20,1,0.182742,0.742738,0.290437,0.137391,0.801201
3149,failed,-1.448766,3,28,3,0.182742,0.742738,0.290437,0.137391,0.801201
3150,completed,1.088373,3,2,3,0.182742,0.742738,0.290437,0.137391,0.801201
3151,completed,0.671474,5,17,5,0.182742,0.742738,0.290437,0.137391,0.801201
3152,failed,-1.407973,2,24,2,0.182742,0.742738,0.290437,0.137391,0.801201
